PROBEID	ENTREZ	SYMBOL
ILMN_1663390	991	CDC20
ILMN_1695025	914	CD2
ILMN_2150095	1066	CES1
ILMN_1723418	1056	CEL
ILMN_1708778	445	ASS1
ILMN_1787691	163732	CITED4
ILMN_2387712	26289	AK5
ILMN_1656837	5947	RBP1
ILMN_1681754	8836	GGH
ILMN_1703891	23158	TBC1D9
ILMN_1798496	3218	HOXB8
ILMN_2054121	389383	CLPSL2
ILMN_1669523	2353	FOS
ILMN_1766264	221476	PI16
ILMN_1691290	1951	CELSR3
ILMN_1768016	608	TNFRSF17
ILMN_1738742	5327	PLAT
ILMN_2215418	866	SERPINA6
ILMN_1738322	134549	SHROOM1
ILMN_1696657	10446	LRRN2
ILMN_1744635	9543	IGDCC3
ILMN_1677384	5733	PTGER3
ILMN_1713829	9536	PTGES
ILMN_1792356	10570	DPYSL4
ILMN_1697561	146330	FBXL16
ILMN_1687235	3249	HPN
ILMN_2088437	1524	CX3CR1
ILMN_1810274	3212	HOXB2
ILMN_1748751	388125	C2CD4B
ILMN_1723412	430	ASCL2
ILMN_2393765	3543	IGLL1
ILMN_1740426	51655	RASD1
ILMN_1677617	7350	UCP1
ILMN_2233783	952	CD38
ILMN_1777644	27124	INPP5J
ILMN_1777170	440585	FAM183A
ILMN_2401344	5522	PPP2R2C
ILMN_1688423	2205	FCER1A
ILMN_2342579	3575	IL7R
ILMN_1691410	25805	BAMBI
ILMN_1758943	339479	FAM5C
ILMN_1758613	51195	RAPGEFL1
ILMN_1785404	9982	FGFBP1
ILMN_1711203	29113	C6orf15
ILMN_1737728	83461	CDCA3
ILMN_2056606	5502	PPP1R1A
ILMN_1763196	256764	WDR72
ILMN_2407879	8470	SORBS2
ILMN_2368585	2678	GGT1
ILMN_1690621	84059	GPR98
ILMN_1711988	56660	KCNK12
ILMN_2184373	3576	IL8
ILMN_1652464	112714	TUBA3E
ILMN_1701918	126823	KLHDC9
ILMN_2376205	4050	LTB
ILMN_1656287	9806	SPOCK2
ILMN_1717714	1029	CDKN2A
ILMN_1714335	157506	RDH10
ILMN_2413833	27324	TOX3
ILMN_2389590	5573	PRKAR1A
ILMN_2196078	114836	SLAMF6
ILMN_1662188	7481	WNT11
ILMN_1663119	1824	DSC2
ILMN_1805519	100133941	CD24
ILMN_1780170	347	APOD
ILMN_1797668	3642	INSM1
ILMN_1682034	23493	HEY2
ILMN_1684211	23541	SEC14L2
ILMN_1726743	10884	MRPS30
ILMN_2374425	898	CCNE1
ILMN_1782389	3898	LAD1
ILMN_2217601	8416	ANXA9
ILMN_1784783	8382	NME5
ILMN_1699651	3569	IL6
ILMN_1670099	115677	NOSTRIN
ILMN_1746517	8942	KYNU
ILMN_1739726	126306	JSRP1
ILMN_2299450	22953	P2RX2
ILMN_1701603	249	ALPL
ILMN_1677574	11226	GALNT6
ILMN_1668619	57613	KIAA1467
ILMN_1789112	284339	TMEM145
ILMN_1801939	9133	CCNB2
ILMN_1729142	201161	CENPV
ILMN_1768772	123099	DEGS2
ILMN_1796423	9022	CLIC3
ILMN_1674519	7783	ZP2
ILMN_1732066	548596	CKMT1A
ILMN_1802780	283316	CD163L1
ILMN_1748352	1515	CTSL2
ILMN_1707727	51129	ANGPTL4
ILMN_1720485	128821	CST9L
ILMN_1738300	9498	SLC4A8
ILMN_1669410	1113	CHGA
ILMN_1657095	10948	STARD3
ILMN_1731237	64084	CLSTN2
ILMN_1749962	4685	NCAM2
ILMN_1761820	128178	EDARADD
ILMN_1723709	138162	C9orf116
ILMN_1772964	6355	CCL8
ILMN_1684108	50805	IRX4
ILMN_1779324	3001	GZMA
ILMN_1674533	55503	TRPV6
ILMN_1723912	10964	IFI44L
ILMN_1661994	2104	ESRRG
ILMN_1806667	80144	FRAS1
ILMN_1788874	12	SERPINA3
ILMN_2167805	4060	LUM
ILMN_1811363	4857	NOVA1
ILMN_2377669	919	CD247
ILMN_1770940	999	CDH1
ILMN_2413779	26470	SEZ6L2
ILMN_2181892	84707	BEX2
ILMN_1685062	130120	REG3G
ILMN_2344298	261729	STEAP2
ILMN_1763127	1238	CCBP2
ILMN_2360307	55061	SUSD4
ILMN_1725014	164656	TMPRSS6
ILMN_1725791	9200	PTPLA
ILMN_1767351	367	AR
ILMN_2078592	84830	ADTRP
ILMN_1674658	170712	COX7B2
ILMN_1675857	1288	COL4A6
ILMN_1760153	140628	GATA5
ILMN_1693270	56241	SUSD2
ILMN_1657766	23650	TRIM29
ILMN_1661778	9633	MTL5
ILMN_1670238	8318	CDC45
ILMN_1790160	3815	KIT
ILMN_1732071	8349	HIST2H2BE
ILMN_1766914	4239	MFAP4
ILMN_1812461	8839	WISP2
ILMN_2089752	285016	FAM150B
ILMN_1772686	89846	FGD3
ILMN_1790317	25837	RAB26
ILMN_1810172	6424	SFRP4
ILMN_2158902	137902	PXDNL
ILMN_1709348	216	ALDH1A1
ILMN_2059357	3822	KLRC2
ILMN_1655261	121506	ERP27
ILMN_1752548	388533	KRTDAP
ILMN_2344971	2305	FOXM1
ILMN_1803211	26232	FBXO2
ILMN_1738989	55638	SYBU
ILMN_1770978	145978	LINC00052
ILMN_1792455	25907	TMEM158
ILMN_2170209	23551	RASD2
ILMN_1730201	1837	DTNA
ILMN_1749540	282996	RBM20
ILMN_1668526	387751	GVINP1
ILMN_1784459	4314	MMP3
ILMN_2239774	84985	FAM83A
ILMN_1652826	10234	LRRC17
ILMN_1771652	80115	BAIAP2L2
ILMN_1697338	26576	SRPK3
ILMN_1779517	158158	RASEF
ILMN_1732158	2327	FMO2
ILMN_2301722	8622	PDE8B
ILMN_1710859	5122	PCSK1
ILMN_2356578	7054	TH
ILMN_2352131	2064	ERBB2
ILMN_1815184	259266	ASPM
ILMN_1785900	1525	CXADR
ILMN_1763907	387103	CENPW
ILMN_1782305	4929	NR4A2
ILMN_2286400	828	CAPS
ILMN_1689004	51330	TNFRSF12A
ILMN_1784287	7049	TGFBR3
ILMN_1705080	57152	SLURP1
ILMN_1740555	6616	SNAP25
ILMN_1718046	9915	ARNT2
ILMN_1655610	5979	RET
ILMN_2094061	3613	IMPA2
ILMN_1728742	10826	C5orf4
ILMN_1730816	27239	GPR162
ILMN_1741847	4319	MMP10
ILMN_1805410	84419	C15orf48
ILMN_2283597	54463	FAM134B
ILMN_2165354	9201	DCLK1
ILMN_1693338	1545	CYP1B1
ILMN_1689874	3213	HOXB3
ILMN_1798177	91612	CHURC1
ILMN_1684886	26609	VCX
